Date,Title,Kicker,Image,Link,Word_Count_Title,Word_Count_Kicker,Character_Count_Title,Character_Count_Kicker,Capital_Words_Kicker,Sentiment_Title,Sentiment_Kicker,Keyword_Frequency_Title,Keyword_Frequency_Kicker,Readability_Score_Title,Readability_Score_Kicker,Title_Complexity
2025-03-07,"MARCH 10 -12, CAPE TOWN",Sales Team Lead Zak Gusarov to highlight Uplatform's tailored solutions at SiGMA Africa 2025,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/07/73283/1741367367-uplatform-zak-sales-team-sigma-africa-2025.jpg,https://www.yogonet.com/international/news/2025/03/07/97424-sales-team-lead-zak-gusarov-to-highlight-uplatform-39s-tailored-solutions-at-sigma-africa-2025,5,14,23,92,"['Sales', 'Team', 'Lead', 'Zak', 'Gusarov', 'Africa']",0.0,0.0,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 1}","{'to': 1, 'in': 0, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,0.0,3.8
2025-03-07,"REVENUE UP, LOSSES STEADY",Full House Resorts reports 21% revenue growth in Q4 despite continued $12.3M quarterly loss,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/03/02/52657/1677763728-the-temporary-american-place-chicago-04.jpg,https://www.yogonet.com/international/news/2025/03/07/97405-full-house-resorts-reports-21-revenue-growth-in-q4-despite-continued-123m-quarterly-loss,4,14,25,91,"['Full', 'House', 'Resorts', 'Q4', '$12.3M']",0.16666666666666666,0.35,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 1, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,59.68214285714288,5.5
2025-03-07,ONLINE RECOVERY GAINS MOMENTUM,"Entain posts $6.6 billion NGR in 2024 amid UK&I return to growth, global expansion",https://imagenesyogonet.b-cdn.net/data/imagenes/2024/08/08/66761/1723125055-entain-generica-02.jpg,https://www.yogonet.com/international/news/2025/03/07/97401-entain-posts-66-billion-ngr-in-2024-amid-uki-return-to-growth-global-expansion,4,14,30,82,['Entain'],0.0,0.0,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 1, 'in': 1, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,77.81071428571428,6.75
2025-03-07,DEAL ALREADY APPROVED,Groupe Partouche strengthens Cannes presence with 80% stake in Casino Les Princes,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/07/73280/1741362850-casino-les-princes-cannes-francia.jpg,https://www.yogonet.com/international/news/2025/03/07/97393-groupe-partouche-strengthens-cannes-presence-with-80-stake-in-casino-les-princes,3,12,21,81,"['Groupe', 'Partouche', 'Cannes', 'Casino', 'Les', 'Princes']",0.0,0.0,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 1, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,0.0,6.333333333333333
2025-03-07,EXPERT INSIGHTS,Slotegrator and EvenBet: On the future of poker in the iGaming industry,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/06/73242/1741290054-slotegrator-evenbet-gaming-ceo-dmitry-starostenkov.jpg,https://www.yogonet.com/international/news/2025/03/07/97316-slotegrator-and-evenbet-on-the-future-of-poker-in-the-igaming-industry,2,12,15,71,"['Slotegrator', 'On']",0.0,0.0,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 1, 'for': 0, 'gambling': 0, 'the': 2, 'of': 1, 'betting': 0, 'and': 1, 'gaming': 0, 'new': 0}",0.0,0.0,7.0
2025-03-07,AMID SUSTAINED EXPANSION IN THE REGION,Zitro installs its new Concept cabinets at MonteCarlo Casino in Mexico,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/06/73231/1741281732-zitro-concept-montecarlo-casino-mazatlan-mexico-eng.jpg,https://www.yogonet.com/international/news/2025/03/07/97305-zitro-installs-its-new-concept-cabinets-at-montecarlo-casino-in-mexico,6,11,38,70,"['Zitro', 'Concept', 'Casino', 'Mexico']",0.0,0.13636363636363635,"{'to': 0, 'in': 1, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 1, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 1}",0.0,0.0,5.5
2025-03-07,TITLES AVAILABLE FOR AGGREGATION,Slotegrator expands Baltic footprint by teaming up with live casino provider Winfinity,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/06/73225/1741275373-alianza-slotegrator-winfinity.jpg,https://www.yogonet.com/international/news/2025/03/07/97298-slotegrator-expands-baltic-footprint-by-teaming-up-with-live-casino-provider-winfinity,4,12,32,86,"['Slotegrator', 'Baltic', 'Winfinity']",0.4,0.13636363636363635,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 1, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 0, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,0.0,7.25
2025-03-07,"STRICTEST CAP SET AT $1,949",Paf sets reduced mandatory loss limits for gamblers,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/05/24/64580/1716578033-paf-logo-generica.jpg,https://www.yogonet.com/international/news/2025/03/07/97295-paf-sets-reduced-mandatory-loss-limits-for-gamblers,5,8,27,51,['Paf'],0.0,0.0,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 0, 'for': 1, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,0.0,4.6
2025-03-07,5X5 GRID SLOT,Play'n GO launches Greek mythology-themed slot Medusa's Madness,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/06/73222/1741270228-play-n-go-medusas-madness-01.jpg,https://www.yogonet.com/international/news/2025/03/07/97292-play-39n-go-launches-greek-mythologythemed-slot-medusa-39s-madness,3,8,13,63,"['Greek', 'Madness']",0.0,0.0,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 0, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,0.0,3.6666666666666665
2025-03-06,$500K+ FOR 34 STATE GAMBLING COUNCILS,DraftKings expands responsible gaming initiatives in line with Problem Gambling Awareness Month,https://imagenesyogonet.b-cdn.net/data/imagenes/2021/08/06/38186/1628260981-draftkings-fantasy-sports-generica-04.jpg,https://www.yogonet.com/international/news/2025/03/06/97289-draftkings-expands-responsible-gaming-initiatives-in-line-with-problem-gambling-awareness-month,6,12,37,95,"['Problem', 'Gambling', 'Awareness', 'Month']",0.0,0.2,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 1, 'a': 0, 'and': 0, 'million': 0, 'gambling': 1, 'march': 0}","{'to': 0, 'in': 1, 'for': 0, 'gambling': 1, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 1, 'new': 0}",0.0,0.0,5.333333333333333
